,name,duration_ms,explicit,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,n_bars,processing,genre
0,Long Road,241.76,False,Funki Porcini,Hed Phone Sex,0.69,0.51,5,-12.53,1.0,0.1,0.3,0.54,0.28,0.64,142.22,4.0,567.0,141.0,1.28,j-dance
1,"Daniâl My Son, Where Did You Vanish?",444.0,False,Siavash Amini,A Trail of Laughters,0.07,0.2,1,-24.8,0.0,0.08,0.28,0.93,0.36,0.03,75.6,4.0,617.0,155.0,2.37,iranian
2,Ondskapens Galakse,333.51,False,Kvelertak,Nattesferd,0.36,0.85,2,-7.44,1.0,0.04,0.0,0.8,0.26,0.49,116.63,4.0,652.0,162.0,3.7,black-metal
3,Can't Look Away,269.8,False,The Wood Brothers,One Drop of Truth,0.52,0.58,5,-5.61,1.0,0.08,0.07,0.0,0.12,0.38,140.88,4.0,619.0,155.0,1.28,bluegrass
4,Thunderground,307.65,False,The Darkraver;DJ Vince,Happy Hardcore Top 100,0.64,0.69,7,-11.34,1.0,0.05,0.0,0.1,0.3,0.64,143.96,4.0,733.0,183.0,4.07,happy
5,Sick Bubblegum,224.27,True,Rob Zombie,Hellbilly Deluxe 2 (Standard Explicit),0.64,0.97,5,-3.05,1.0,0.1,0.0,0.0,0.38,0.42,118.04,4.0,432.0,106.0,1.28,industrial
6,The Diamond Four,225.16,False,Momoiro Clover Z,MOMOIRO CLOVER Z,0.78,0.95,2,-2.49,1.0,0.06,0.31,0.0,0.3,0.85,109.99,4.0,411.0,103.0,3.7,j-idol
7,Quiero tener tu presencia,220.63,False,Seguridad Social,Furia Latina,0.74,0.82,4,-5.6,1.0,0.08,0.02,0.0,0.1,0.57,146.07,4.0,517.0,129.0,0.92,spanish
8,Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),116.82,False,Baby Sleep;Baby Shushing;Dreams of Dreams,Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),0.15,0.12,6,-25.16,1.0,0.05,0.7,0.91,0.54,0.03,84.89,3.35,162.0,40.0,1.17,sleep
9,Into The Pentagram,405.8,False,Samael,Worship Him,0.31,0.73,4,-7.05,1.0,0.03,0.0,0.22,0.22,0.12,141.33,4.0,882.0,221.0,0.92,black-metal
10,Gammy Elbow - VIP Mix,191.3,False,DJ Zinc;Chris Lorenzo,Gammy Elbow (VIP Mix),0.92,0.89,7,-2.57,1.0,0.19,0.02,0.86,0.09,0.61,130.0,4.0,412.0,103.0,4.07,j-dance
11,Nobody Supposed to Be Here,99.53,False,Kyle Edwards;DJ Smallz 732,Warning,0.88,0.75,6,-8.86,0.0,0.17,0.09,0.96,0.05,0.41,140.08,4.0,231.0,57.0,1.17,techno
12,Beautiful Girl,218.33,False,Vybz Kartel,Kingston Story (Deluxe Edition),0.79,0.85,7,-6.17,1.0,0.1,0.12,0.0,0.11,0.83,110.01,4.0,400.0,98.0,4.07,j-dance
13,知足,256.69,False,Mayday,知足 just my pride 最真傑作選,0.41,0.23,4,-9.01,1.0,0.03,0.88,0.0,0.11,0.4,159.91,4.0,667.0,167.0,0.92,mandopop
14,Do You Want a Man - Heaven & Hell Remix,145.77,False,William Onyeabor;The Vaccines;John Hill;Rich Costey,What?!,0.6,0.92,5,-3.56,1.0,0.09,0.2,0.0,0.13,0.82,122.98,4.0,295.0,74.0,1.28,afrobeat
15,Escalate,220.67,False,X-RX,Activate the Machinez,0.53,0.99,9,-4.08,1.0,0.04,0.0,0.07,0.31,0.59,135.99,3.96,488.0,121.0,1.34,industrial
16,Querencia,194.65,False,Cameron Sinosa,Querencia,0.17,0.0,5,-38.62,0.0,0.04,0.99,0.93,0.11,0.09,70.96,3.0,230.0,76.0,1.28,sleep
17,Real Bad Man - Radio Edit,194.62,False,Beenie Man;Blakk Man,Imac Riddim,0.72,0.8,8,-4.2,1.0,0.29,0.03,0.0,0.13,0.79,133.67,5.0,429.0,108.0,2.73,j-dance
18,Three Black Cats,124.33,False,CoComelon,Halloween Party,0.88,0.4,0,-11.0,1.0,0.04,0.49,0.0,0.1,0.88,135.04,3.0,274.0,91.0,3.35,disney
19,Dust till Dawn,134.0,False,Dusty Decks,Solid Centre,0.75,0.57,10,-6.98,0.0,0.12,0.03,0.89,0.1,0.71,89.96,4.0,196.0,48.0,0.76,study
20,Beqaaboo,187.27,False,OAFF;Savera;Shalmali Kholgade;Kausar Munir,Gehraiyaan (Original Motion Picture Soundtrack),0.68,0.66,9,-6.28,1.0,0.05,0.02,0.01,0.35,0.51,123.98,3.89,384.0,97.0,1.34,indian
21,Brokedown Palace 9/25: The Caverns - Live,344.15,False,Greensky Bluegrass,Courage for the Road: Fall 2019 (Live),0.45,0.34,5,-15.91,1.0,0.04,0.79,0.0,0.92,0.25,123.61,4.0,704.0,175.0,1.28,bluegrass
22,→,282.89,False,SILENT SIREN,Silent Siren Selection,0.52,0.8,9,-5.43,1.0,0.04,0.01,0.0,0.26,0.62,176.13,4.0,815.0,203.0,1.34,j-idol
23,Ukon Laulu,252.56,False,Lepoka,Bibere Vivere,0.37,0.93,7,-4.14,1.0,0.09,0.0,0.0,0.09,0.48,180.01,4.06,745.0,188.0,4.07,spanish
24,Monday Morning Before Work,227.32,False,Kelpe,Kyverdale Road,0.76,0.15,8,-23.57,1.0,0.05,0.86,0.95,0.11,0.48,102.99,4.0,382.0,95.0,2.73,idm
25,えっと干支がーる,204.0,False,夜光性アミューズ,えっと干支がーる,0.68,0.9,10,-4.96,1.0,0.05,0.02,0.0,0.32,0.81,100.02,4.0,324.0,81.0,0.76,j-idol
