,name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,n_bars,popularity_confidence,processing,genre,genres_val,explicit_val
0,Long Road,241.76,False,46,Funki Porcini,Hed Phone Sex,0.69,0.513,5,-12.529,1.0,0.0975,0.302,0.536,0.281,0.635,142.221,4.0,567.0,141.0,0.48591101212962984,1.2793053545586106,j-dance,13,0
1,"Daniâl My Son, Where Did You Vanish?",444.0,False,0,Siavash Amini,A Trail of Laughters,0.069,0.196,1,-24.801,0.0,0.0805,0.283,0.934,0.36,0.0336,75.596,4.0,617.0,155.0,0.43519004899057795,2.36741214057508,iranian,12,0
2,Ondskapens Galakse,333.506,False,3,Kvelertak,Nattesferd,0.363,0.854,2,-7.445,1.0,0.0397,8.93e-05,0.8,0.262,0.489,116.628,4.0,652.0,162.0,0.49271600084186873,3.70048309178744,black-metal,1,0
3,Can't Look Away,269.8,False,23,The Wood Brothers,One Drop of Truth,0.523,0.585,5,-5.607,1.0,0.0765,0.0664,0.00127,0.117,0.385,140.88,4.0,619.0,155.0,0.469,1.2793053545586106,bluegrass,2,0
4,Thunderground,307.651,False,25,The Darkraver;DJ Vince,Happy Hardcore Top 100,0.643,0.687,7,-11.34,1.0,0.0539,0.000576,0.0969,0.299,0.637,143.956,4.0,733.0,183.0,0.47969868255014037,4.067085953878407,happy,8,0
5,Sick Bubblegum,224.266,True,32,Rob Zombie,Hellbilly Deluxe 2 (Standard Explicit),0.642,0.972,5,-3.047,0.0,0.0967,0.00152,2.39e-05,0.384,0.421,118.035,4.0,432.0,106.0,0.5035087117142083,1.2793053545586106,industrial,11,1
6,The Diamond Four,225.16,False,27,Momoiro Clover Z,MOMOIRO CLOVER Z,0.777,0.949,2,-2.488,1.0,0.0585,0.306,1.63e-05,0.299,0.85,109.992,4.0,411.0,103.0,0.5139349377409699,3.70048309178744,j-idol,14,0
7,Quiero tener tu presencia,220.626,False,64,Seguridad Social,Furia Latina,0.741,0.816,4,-5.597,0.0,0.0797,0.0211,0.0,0.0981,0.574,146.075,4.0,517.0,129.0,0.49518570814623314,0.916010498687664,spanish,17,0
8,Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),116.815,False,45,Baby Sleep;Baby Shushing;Dreams of Dreams,Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),0.153,0.119,6,-25.16,0.0,0.0501,0.704,0.913,0.543,0.0342,84.886,4.0,162.0,40.0,0.4216905534934817,1.1709531013615733,sleep,16,0
9,Into The Pentagram,405.8,False,21,Samael,Worship Him,0.311,0.729,4,-7.047,1.0,0.0346,0.000116,0.222,0.225,0.119,141.326,4.0,882.0,221.0,0.47531617921131153,0.916010498687664,black-metal,1,0
10,Gammy Elbow - VIP Mix,191.296,False,19,DJ Zinc;Chris Lorenzo,Gammy Elbow (VIP Mix),0.924,0.893,7,-2.567,1.0,0.191,0.0166,0.859,0.0907,0.613,129.999,4.0,412.0,103.0,0.5615733196861967,4.067085953878407,j-dance,13,0
11,Nobody Supposed to Be Here,99.526,False,21,Kyle Edwards;DJ Smallz 732,Warning,0.885,0.75,6,-8.859,0.0,0.173,0.0878,0.963,0.0453,0.406,140.079,4.0,231.0,57.0,0.5326598490202231,1.1709531013615733,techno,19,0
12,Beautiful Girl,218.329,False,22,Vybz Kartel,Kingston Story (Deluxe Edition),0.792,0.854,7,-6.17,1.0,0.105,0.116,4.02e-06,0.108,0.829,110.01,4.0,400.0,98.0,0.5146270198883023,4.067085953878407,j-dance,13,0
13,知足,256.692,False,51,Mayday,知足 just my pride 最真傑作選,0.406,0.23,4,-9.007,1.0,0.0297,0.88,0.0,0.107,0.395,159.914,4.0,667.0,167.0,0.47962370092212436,0.916010498687664,mandopop,15,0
14,Do You Want a Man - Heaven & Hell Remix,145.773,False,22,William Onyeabor;The Vaccines;John Hill;Rich Costey,What?!,0.603,0.921,5,-3.555,0.0,0.0931,0.198,0.00035,0.133,0.816,122.978,4.0,295.0,74.0,0.5033450254805597,1.2793053545586106,afrobeat,0,0
15,Escalate,220.666,False,25,X-RX,Activate the Machinez,0.529,0.99,9,-4.075,0.0,0.0422,0.000821,0.0743,0.306,0.589,135.989,4.0,488.0,121.0,0.5014918918030791,1.343558282208589,industrial,11,0
17,Real Bad Man - Radio Edit,194.616,False,1,Beenie Man;Blakk Man,Imac Riddim,0.717,0.795,8,-4.198,1.0,0.291,0.0298,2.33e-06,0.133,0.792,133.673,5.0,429.0,108.0,0.5362096726470718,2.7259036144578315,j-dance,13,0
18,Three Black Cats,124.333,False,14,CoComelon,Halloween Party,0.883,0.395,0,-11.0,1.0,0.0404,0.486,1.76e-05,0.0979,0.884,135.045,3.0,274.0,91.0,0.46698513362578276,3.349056603773585,disney,6,0
19,Dust till Dawn,134.0,False,45,Dusty Decks,Solid Centre,0.747,0.571,10,-6.985,0.0,0.119,0.0264,0.888,0.102,0.71,89.96,4.0,196.0,48.0,0.5001373522499308,0.7573891625615764,study,18,0
20,Beqaaboo,187.266,False,53,OAFF;Savera;Shalmali Kholgade;Kausar Munir,Gehraiyaan (Original Motion Picture Soundtrack),0.679,0.663,9,-6.279,0.0,0.051,0.0221,0.00609,0.351,0.511,123.985,4.111111111111111,384.0,97.0,0.48352746430664295,1.343558282208589,indian,10,0
