name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,features_duration_ms,time_signature,n_beats,n_bars,popularity_confidence,processing,genre
Long Road,241760,False,46,Funki Porcini,Hed Phone Sex,0.69,0.513,5,-12.529,1.0,0.0975,0.302,0.536,0.281,0.635,142.221,241760,4.0,567.0,141.0,,1.2793053545586106,j-dance
"Daniâl My Son, Where Did You Vanish?",444000,False,0,Siavash Amini,A Trail of Laughters,0.069,0.196,1,-24.801,0.0,0.0805,0.283,0.934,0.36,0.0336,75.596,444000,4.0,617.0,155.0,,2.36741214057508,iranian
Ondskapens Galakse,333506,False,3,Kvelertak,Nattesferd,0.363,0.854,2,-7.445,,0.0397,8.93e-05,0.8,0.262,0.489,116.628,333507,4.0,652.0,162.0,,3.7004830917874396,black-metal
Can't Look Away,269800,False,23,The Wood Brothers,One Drop of Truth,0.523,0.585,5,-5.607,1.0,0.0765,0.0664,0.00127,0.117,0.385,140.88,269800,4.0,619.0,155.0,0.469,1.2793053545586106,bluegrass
Thunderground,307651,False,25,The Darkraver;DJ Vince,Happy Hardcore Top 100,0.643,0.687,7,-11.34,1.0,0.0539,0.000576,0.0969,0.299,0.637,143.956,307652,4.0,733.0,183.0,,4.067085953878407,happy
Sick Bubblegum,224266,True,32,Rob Zombie,Hellbilly Deluxe 2 (Standard Explicit),0.642,0.972,5,-3.047,,0.0967,0.00152,2.39e-05,0.384,0.421,118.035,224267,4.0,432.0,106.0,,1.2793053545586106,industrial
The Diamond Four,225160,False,27,Momoiro Clover Z,MOMOIRO CLOVER Z,0.777,0.949,2,-2.488,1.0,0.0585,0.306,1.63e-05,0.299,0.85,109.992,225160,4.0,411.0,103.0,,3.7004830917874396,j-idol
Quiero tener tu presencia,220626,False,64,Seguridad Social,Furia Latina,0.741,0.816,4,-5.597,,0.0797,0.0211,0.0,0.0981,0.574,146.075,220626,4.0,517.0,129.0,,0.916010498687664,spanish
Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),116815,False,45,Baby Sleep;Baby Shushing;Dreams of Dreams,Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),0.153,0.119,6,-25.16,,0.0501,0.704,0.913,0.543,0.0342,84.886,116815,,162.0,40.0,,1.1709531013615733,sleep
Into The Pentagram,405800,False,21,Samael,Worship Him,0.311,0.729,4,-7.047,1.0,0.0346,0.000116,0.222,0.225,0.119,141.326,405800,4.0,882.0,221.0,,0.916010498687664,black-metal
Gammy Elbow - VIP Mix,191296,False,19,DJ Zinc;Chris Lorenzo,Gammy Elbow (VIP Mix),0.924,0.893,7,-2.567,1.0,0.191,0.0166,0.859,0.0907,0.613,129.999,191297,4.0,412.0,103.0,,4.067085953878407,j-dance
Nobody Supposed to Be Here,99526,False,21,Kyle Edwards;DJ Smallz 732,Warning,0.885,0.75,6,-8.859,0.0,0.173,0.0878,0.963,0.0453,0.406,140.079,99527,4.0,231.0,57.0,,1.1709531013615733,techno
Beautiful Girl,218329,False,22,Vybz Kartel,Kingston Story (Deluxe Edition),0.792,0.854,7,-6.17,1.0,0.105,0.116,4.02e-06,0.108,0.829,110.01,218329,4.0,400.0,98.0,,4.067085953878407,j-dance
知足,256692,False,51,Mayday,知足 just my pride 最真傑作選,0.406,0.23,4,-9.007,,0.0297,0.88,0.0,0.107,0.395,159.914,256693,4.0,667.0,167.0,,0.916010498687664,mandopop
Do You Want a Man - Heaven & Hell Remix,145773,False,22,William Onyeabor;The Vaccines;John Hill;Rich Costey,What?!,0.603,0.921,5,-3.555,,0.0931,0.198,0.00035,0.133,0.816,122.978,145773,4.0,295.0,74.0,,1.2793053545586106,afrobeat
Escalate,220666,False,25,X-RX,Activate the Machinez,0.529,0.99,9,-4.075,,0.0422,0.000821,0.0743,0.306,0.589,135.989,220667,,488.0,121.0,,1.343558282208589,industrial
Querencia,194648,False,57,Cameron Sinosa,Querencia,0.17,0.00316,5,-38.615,0.0,0.0422,0.991,0.931,0.111,0.0946,70.964,194649,3.0,230.0,76.0,,1.2793053545586106,sleep
Real Bad Man - Radio Edit,194616,False,1,Beenie Man;Blakk Man,Imac Riddim,0.717,0.795,8,-4.198,,0.291,0.0298,2.33e-06,0.133,0.792,133.673,194617,5.0,429.0,108.0,,2.7259036144578315,j-dance
Three Black Cats,124333,False,14,CoComelon,Halloween Party,0.883,0.395,0,-11.0,,0.0404,0.486,1.76e-05,0.0979,0.884,135.045,124333,3.0,274.0,91.0,,3.349056603773585,disney
Dust till Dawn,134000,False,45,Dusty Decks,Solid Centre,0.747,0.571,10,-6.985,0.0,0.119,0.0264,0.888,0.102,0.71,89.96,134000,4.0,196.0,48.0,,0.7573891625615764,study
Beqaaboo,187266,False,53,OAFF;Savera;Shalmali Kholgade;Kausar Munir,Gehraiyaan (Original Motion Picture Soundtrack),0.679,0.663,9,-6.279,,0.051,0.0221,0.00609,0.351,0.511,123.985,187266,,384.0,97.0,,1.343558282208589,indian
Brokedown Palace 9/25: The Caverns - Live,344146,False,20,Greensky Bluegrass,Courage for the Road: Fall 2019 (Live),0.454,0.337,5,-15.906,,0.0371,0.793,0.00148,0.922,0.249,123.612,344147,4.0,704.0,175.0,,1.2793053545586106,bluegrass
→,282893,False,18,SILENT SIREN,Silent Siren Selection,0.522,0.805,9,-5.427,1.0,0.0436,0.00608,0.0,0.265,0.616,176.127,282893,4.0,815.0,203.0,,1.343558282208589,j-idol
Ukon Laulu,252556,False,27,Lepoka,Bibere Vivere,0.373,0.927,7,-4.14,,0.09,0.000365,0.000162,0.0878,0.479,180.012,252556,,745.0,188.0,,4.067085953878407,spanish
Monday Morning Before Work,227320,False,13,Kelpe,Kyverdale Road,0.757,0.153,8,-23.574,1.0,0.047,0.857,0.952,0.106,0.476,102.987,227320,4.0,382.0,95.0,,2.7259036144578315,idm
えっと干支がーる,204000,False,28,夜光性アミューズ,えっと干支がーる,0.684,0.898,10,-4.965,1.0,0.0494,0.0174,0.0,0.323,0.808,100.021,204000,4.0,324.0,81.0,,0.7573891625615764,j-idol
Soim In Vazduh,417025,False,20,Bucovina,Sub Stele,0.497,0.974,0,-5.032,1.0,0.0821,0.000247,0.349,0.252,0.232,154.991,417026,,1068.0,269.0,,3.349056603773585,black-metal
Doug's Tune,136266,False,28,The Dillards,Back Porch Bluegrass,0.397,0.933,3,-9.578,,0.0503,0.275,0.969,0.0951,0.977,135.491,136267,,292.0,71.0,,1.7389162561576355,bluegrass
愛上你算我賤,250941,False,55,NICKTHEREAL,REAL LIFE,0.478,0.738,6,-4.464,0.0,0.0414,0.00432,0.0,0.154,0.353,163.994,250942,4.0,670.0,167.0,,1.1709531013615733,mandopop
never had,140487,False,12,Organ Tapes,唱着那无人问津的歌谣 / Chang Zhe Na Wu Ren Wen Jin De Ge Yao,0.405,0.389,2,-14.809,1.0,0.0419,0.863,0.72,0.134,0.748,89.271,140488,4.0,200.0,50.0,,3.7004830917874396,techno
I Love You - Love Mix,217916,False,1,The Prophet,The Hardcore Archive Part 2 (1995 - 1996),0.682,0.877,0,-4.89,1.0,0.0477,0.0158,0.218,0.0439,0.512,144.003,217917,4.0,518.0,129.0,,3.349056603773585,happy
H.O.P.E.,569782,False,33,Hozho,"Singles Collection, Vol. 1",0.712,0.474,4,-11.715,,0.0516,0.0664,0.745,0.0998,0.0839,127.026,569783,4.0,1198.0,302.0,,0.916010498687664,techno
Pal - Lofi Flip,263200,False,57,Kritiman Mishra;Arijit Singh;Shreya Ghoshal;Javed-Mohsin,Pal (Lofi Flip),0.616,0.6,7,-7.662,0.0,0.0417,0.192,0.046,0.176,0.23,119.944,263200,4.0,517.0,129.0,,4.067085953878407,indian
Meu Vício É Você,144906,False,0,Zezo,Zezo (O Príncipe dos Teclados),0.771,0.856,1,-2.34,0.0,0.0265,0.533,0.0,0.105,0.713,111.064,144907,4.0,268.0,66.0,,2.36741214057508,forro
Get Get Down - Original Mix,551999,False,8,Paul Johnson,"Best Of Moody Recordings, Vol. 1",0.906,0.918,5,-8.041,0.0,0.0839,0.000146,0.845,0.116,0.51,126.953,552000,4.0,1166.0,290.0,,1.2793053545586106,chicago-house
Battle Cry,175200,True,0,Kraff Gad,Battle Cry,0.867,0.487,7,-9.212,1.0,0.115,0.231,0.0,0.0872,0.204,100.104,175200,4.0,288.0,72.0,,4.067085953878407,j-dance
Wir Ziehen Heut Abend Auf's Dach,210306,False,26,Jürgen Drews,Musik Box Teil 1,0.631,0.925,7,-5.591,0.0,0.0761,0.627,3.66e-06,0.493,0.799,124.061,210307,,426.0,107.0,0.69,4.067085953878407,happy
Despot,361800,False,18,Windir,Likferd,0.318,0.623,2,-5.794,0.0,0.0531,1.21e-06,0.935,0.224,0.192,90.051,361800,4.0,539.0,136.0,,3.7004830917874396,black-metal
Vou Te Procurar,213916,False,0,Asas Livres,Asas Livres & Pablo: Retrô (Ao Vivo),0.78,0.541,0,-7.75,,0.0282,0.0877,1.58e-05,0.573,0.83,128.901,213917,4.0,458.0,113.0,,3.349056603773585,forro
Isso Aquí Tá Bom Demais,154240,False,53,Dominguinhos,Nas Costas Do Brasil,0.728,0.802,2,-7.717,1.0,0.043,0.256,0.00262,0.314,0.809,139.992,154240,,354.0,87.0,,3.7004830917874396,forro
The Light Tears Apart,256687,False,0,Shivered,Journey to Fade,0.443,0.932,4,-5.086,0.0,0.0715,2.47e-05,0.00178,0.375,0.454,159.935,256688,4.0,664.0,166.0,,0.916010498687664,iranian
i loved you first,227067,False,50,joan,i loved you first,0.556,0.276,0,-9.603,1.0,0.0269,0.0862,6.89e-06,0.0999,0.216,75.02,227068,,280.0,70.0,,3.349056603773585,sleep
Filho de Davi,353986,False,49,Tony Allysson,Poderoso Deus,0.578,0.635,2,-5.335,1.0,0.0278,0.661,0.0,0.138,0.343,137.98,353987,4.0,806.0,202.0,,3.7004830917874396,brazil
"Tere Siva Jag Mein (From ""Tadap"")",205022,False,44,Pritam;Shilpa Rao;Darshan Raval;Charan,"Tere Siva Jag Mein (From ""Tadap"")",0.756,0.799,5,-5.728,,0.0682,0.0894,0.00044,0.129,0.709,122.04,205023,4.0,413.0,103.0,,1.2793053545586106,indian
Homophobia,273819,True,0,Tension Prophecy,Death Metal From Iran,0.238,0.777,1,-5.98,1.0,0.151,0.0106,0.73,0.254,0.156,92.322,273819,4.0,407.0,101.0,,2.36741214057508,iranian
Ajab Adaayein,194245,False,46,Swattrex,Ajab Adaayein,0.667,0.193,4,-17.939,1.0,0.0316,0.867,0.000222,0.108,0.307,90.77,194245,4.0,287.0,70.0,,0.916010498687664,indian
The Remedy,367191,True,12,Puscifer,Money Shot,0.466,0.759,11,-8.148,0.0,0.0311,0.0304,0.0405,0.171,0.659,180.021,367192,5.0,1078.0,272.0,,0.7481162540365985,industrial
